Cidade,Estado,Longitude,Latitude 
Abadia de Goiás,GO,-16.7572644,-49.4412205
Abadia dos Dourados,MG,-18.488055,-47.404444
Abadiânia,GO,-16.1947225,-48.7068117
Abaetetuba,PA,-1.7218,-48879.0
Abaeté,MG,-19.159444,-45.445555
Abaiara,CE,-7.345878999999999,-39.04159
Abaré,BA,-8.720734,-39.11617800000001
Abatiá,PR,-23.304863,-50.313280999999996
Abaíra,BA,-13.248829999999998,-41.661869
Abdon Batista,SC,-27.612628000000004,-51.023275
Abel Figueiredo,PA,-4.953327,-48.393285
Abelardo Luz,SC,-26.571585,-52.322881
Abre Campo,MG,-20.298333,-42.47638900000001
Abreu e Lima,PE,-7.9007190000000005,-34.898389
Abreulândia,TO,-9.621015,-49.151845
Acaiaca,MG,-20.3625,-43.144721999999994
Acajutiba,BA,-11.657522,-38.019737
Acarape,CE,-4.22083,-38.705532
Acaraú,CE,-2.887689,-40.118306
Acari,RN,-6.4370322,-36.6392497
Acará,PA,-1.9538330000000002,-48.198513
Acauã,PI,-8.219542,-41.08305900000001
Aceguá,RS,-31.869996,-54.162144999999995
Acopiara,CE,-6.089114,-39.448042
Acorizal,MT,-15.194025,-56.363226
Acrelândia,AC,-9.825808,-66.897166
Acreúna,GO,-17.395989899999996,-50.374903100000004
Adamantina,SP,-21.682012,-51.073695
Adelândia,GO,-16.4126999,-50.165699
Adolfo,SP,-21.232494,-49.645128
Adrianópolis,PR,0.0,0.0
Adustina,BA,-10.54369,-38.111265
Afogados da Ingazeira,PE,-7.743121,-37.630990999999995
Afonso Bezerra,RN,-5.5006459,-36.5070387
Afonso Cláudio,ES,-20.077841,-41.126059999999995
Afonso Cunha,MA,-4.1363129999999995,-43.327527
Afrânio,PE,-8.511358,-41.009544
Afuá,PA,-0.154874,-50.38613
Agrestina,PE,-8.459657,-35.944725
Agricolândia,PI,-5.796762999999999,-42.66637100000001
Agrolândia,SC,-27.408685,-49.822049
Agronômica,SC,-27.266153999999997,-49.707996
Aguanil,MG,-20.9425,-45.392777
Aguaí,SP,-22.0583392,-46.9763131
Agudo,RS,-29.644130199999996,-53.24974920000001
Agudos,SP,-22.469433,-48.98632
Agudos do Sul,PR,-25.9899,-49.334293
Aguiar,PB,-7.091802,-38.168059
Aguiarnópolis,TO,-6.554086999999999,-47.470222
Aimorés,MG,-19495.0,-41.064167
Aiquara,BA,-14.126918,-39.893653
Aiuaba,CE,-6.5737801,-40.1269838
Aiuruoca,MG,-21.975556,-44.602778
Ajuricaba,RS,-28.234170000000002,-53.775668
Alagoa,MG,-22.1697202,-44.6400042
Alagoa Grande,PB,-7.037016800000001,-35.627862
Alagoa Nova,PB,-7.053772,-35.759065
Alagoinha,PE,0.0,0.0
Alagoinha,PB,-6.946569,-35.53319600000001
Alagoinha do Piauí,PI,-7.000392,-40.92817
Alagoinhas,BA,0.0,0.0
Alambari,SP,-23.550338,-47.89797100000001
Albertina,MG,-22.200556,-46.615556
Alcantil,PB,-7.736681,-36.051083
Alcinópolis,MS,-18.325546,-53.704223
Alcobaça,BA,-17.519468,-39.203609
Alcântara,MA,-2.395737,-44.406182
Alcântaras,CE,-3.585369,-40.547867
Aldeias Altas,MA,-4.626213,-43.468931
Alecrim,RS,-27.657856,-54.764849
Alegre,ES,-20.759,-41.5307
Alegrete,RS,-29.790165999999996,-55.794862
Alegrete do Piauí,PI,-7.241964,-40.856587
Alegria,RS,-27.834467,-54.05573199999999
Alenquer,PA,-1.946229,-54.73835500000001
Alexandria,RN,-6.405335,-38.01423
Alexânia,GO,-16.0834049,-48.50778029999999
Alfenas,MG,0.0,0.0
Alfredo Chaves,ES,-20.6054,-40.7463
Alfredo Marcondes,SP,-21.9527,-51.413956
Alfredo Vasconcelos,MG,-21.145833,-43.776389
Alfredo Wagner,SC,-27.700096000000002,-49.327346
Algodão de Jandaíra,PB,-6.892919,-36.012861
Alhandra,PB,-7.4304246,-34.910610299999995
Aliança,PE,-7.60398,-35.222696
Aliança do Tocantins,TO,-11.305565,-48.936097
Almadina,BA,-14.708869,-39.641490999999995
Almas,TO,-11.570553,-47.179196999999995
Almeirim,PA,-1.520968,-52.581573
Almenara,MG,0.0,0.0
Almino Afonso,RN,-6.147496,-37.763574
Almirante Tamandaré,PR,0.0,0.0
Almirante Tamandaré do Sul,RS,-28.111116,-52.915673999999996
Aloândia,GO,-17.729196899999994,-49.4768951
Alpercata,MG,0.0,0.0
Alpestre,RS,-27.250159000000004,-53.03412700000001
Alpinópolis,MG,-20.863611,-46.387777
Alta Floresta,MT,-9.866745,-56.08670400000001
Alta Floresta D'Oeste,RO,0.0,0.0
Altair,SP,-20.524207,-49.057072999999995
Altamira,PA,-3.204065,-52.209961
Altamira do Maranhão,MA,-4.16598,-45.470616
Altamira do Paraná,PR,-24.798293,-52.712829000000006
Altaneira,CE,-6.988047,-39.748055
Alterosa,MG,-21.249166,-46.143055
Altinho,PE,-8.48482,-36.064408
Altinópolis,SP,-21.021364000000002,-47.3712
Alto Alegre,SP,0.0,0.0
Alto Alegre,RS,-28.775784499999997,-52.9910939
Alto Alegre,RO,0.0,0.0
Alto Alegre do Maranhão,MA,-4.198595,-44.438931
Alto Alegre do Pindaré,MA,-3.666886,-45.842110999999996
Alto Alegre dos Parecis,RO,-12.131955,-61.834979000000004
Alto Araguaia,MT,-17.315324,-53.218125
Alto Bela Vista,SC,-27.433346000000004,-51.904435
Alto Boa Vista,MT,-11.673199,-51.388326
Alto Caparaó,MG,-20.4333,-41.8681
Alto Feliz,RS,-29.391928000000004,-51.312278000000006
Alto Garças,MT,-16.946226,-53.527209
Alto Horizonte,GO,-14.1978109,-49.337836100000004
Alto Jequitibá,MG,-20.423610999999998,-41.966111
Alto Longá,PI,-5.256341,-42.209582
Alto Paraguai,MT,-14.513712,-56.47763000000001
Alto Paraná,PR,-23.131247000000002,-52.318893
Alto Paraíso,PR,0.0,0.0
Alto Paraíso,RO,0.0,0.0
Alto Paraíso de Goiás,GO,-14.1304779,-47.5100161
Alto Parnaíba,MA,-9.102733,-45.930328
Alto Piquiri,PR,-24.02252510000001,-53.4404442
Alto Rio Doce,MG,-21.025834,-43.411111
Alto Rio Novo,ES,-19.0567,-41.0009
Alto Santo,CE,-5.508941,-38.274318
Alto Taquari,MT,-17.82405,-53.279219999999995
Alto do Rodrigues,RN,-5.290868,-36.761672600000004
Altos,PI,0.0,0.0
Altônia,PR,-23.875916,-53.895809
Alumínio,SP,-23535.0,-47.2619444
Alvarenga,MG,-19.4175,-41.728334000000004
Alvarães,AM,-3.22727,-64.80065400000001
Alvinlândia,SP,-22.443481,-49.762322999999995
Alvinópolis,MG,-20.110101699999998,-43.0561086
Alvorada,TO,0.0,0.0
Alvorada,RS,-30.00393395,-51.08133338
Alvorada D'Oeste,RO,0.0,0.0
Alvorada de Minas,MG,-18.735833,-43365.0
Alvorada do Gurguéia,PI,-8.424183,-43.777015999999996
Alvorada do Norte,GO,-14.479687900000002,-46.4910361
Alvorada do Sul,PR,-22.781282,-51.229709
Além Paraíba,MG,0.0,0.0
Amajari,RO,3.645714,-61.36924499999999
Amambai,MS,0.0,0.0
Amaporã,PR,-23.094272,-52.786597
Amapá,AP,0.0,0.0
Amapá do Maranhão,MA,-1.557445,-45.929559999999995
Amaraji,PE,-8.376914,-35.450051
Amaral Ferrador,RS,-30.875579,-52.250951
Amaralina,GO,-13.923619899999998,-49.2962411
Amarante,PI,-6.2430449999999995,-42.843343
Amarante do Maranhão,MA,-5.56913,-46.747284
Amargosa,BA,-13.021462,-39.601966
Amaturá,AM,-3.374547,-68.200456
Americana,SP,-22.7389,-47.3317
Americano do Brasil,GO,-16.2514489,-49.9831291
Ametista do Sul,RS,-27.3606642,-53.183006000000006
Amontada,CE,-3.3601660000000004,-39.828815999999996
Amorinópolis,GO,-16.6203355,-51.094013200000006
Amparo,PB,-7.568604,-37.0627834
Amparo,SP,0.0,0.0
Amparo de São Francisco,SE,-10.134841999999999,-36.934993
Amparo do Serra,MG,-20.506944,-42.802778
Ampére,PR,-25.916791,-53.46864
Amélia Rodrigues,BA,-12.391428999999999,-38.756289
América Dourada,BA,-11.442938,-41.439007000000004
Américo Brasiliense,SP,-21.732859299999998,-48.108342
Américo de Campos,SP,-20.298476,-49.735904
Anadia,AL,-9.684886,-36.307783
Anagé,BA,-14.615120000000001,-41.135569
Anahy,PR,-24.644865,-53.133235
Anajatuba,MA,-3.262693,-44.612594
Anajás,PA,-0.9968110000000001,-49.9354
Analândia,SP,-22.128917,-47.661939000000004
Anamã,AM,-3.5669660000000003,-61.396337
Ananindeua,PA,-1.3743,-48.4019
Ananás,TO,-6.364369,-48.073465999999996
Anapu,PA,-3.469847,-51.200264000000004
Anapurus,MA,-3.6757690000000003,-43.101449
Anastácio,MS,-20.482292,-55.810353000000006
Anaurilândia,MS,-22.185169000000002,-52.71905600000001
Anchieta,ES,-20.8058,-40.6455
Anchieta,SC,-20.8057672,-40.6454564
Andaraí,BA,0.0,0.0
Andirá,PR,-23.053267,-50.230359
Andorinha,BA,-10.348214,-39.839141999999995
Andradas,MG,0.0,0.0
Andradina,SP,-20.894761,-51.378568
Andrelândia,MG,-21.739722,-44.308889
André da Rocha,RS,-28.628294,-51.579729
Angatuba,SP,-23.491733,-48.413872
Angelim,PE,-8.884289,-36.290174
Angelina,SC,-27.580528700000002,-48.983875899999994
Angelândia,MG,-17.7253,-42.2728
Angical,BA,0.0,0.0
Angical do Piauí,PI,-6.087864,-42.740047
Angico,TO,-6.391789,-47.861142
Angicos,RN,-5.6658623,-36.6009903
Angra dos Reis,RJ,-23.0045,-44.2981
Anguera,BA,-12.146157,-39.246186
Angélica,MS,-22.152658,-53.770789
Anhanguera,GO,-18.333874899999998,-48.220363
Anhembi,SP,-22.792959,-48.133595
Anhumas,SP,0.0,0.0
Anicuns,GO,-16.4641639,-49.9616951
Anita Garibaldi,SC,-27.689743,-51.127143
Anitápolis,SC,-27.901183000000003,-49.131633
Anori,AM,-3.748452,-61.658576000000004
Anta Gorda,RS,-28.969772,-52.010191
Antas,BA,-10.385621,-38.340118
Antonina,PR,-25.4298854,-48.71254310000001
Antonina do Norte,CE,-6.769193,-39.98697
Antônio Almeida,PI,-7.2127589999999975,-44.188928999999995
Antônio Cardoso,BA,-12.433492999999999,-39.117554999999996
Antônio Carlos,SC,-27.51907000000001,-48.766007
Antônio Carlos,MG,0.0,0.0
Antônio Dias,MG,-19.6525,-42.872778000000004
Antônio Gonçalves,BA,-10.576686,-40.278489
Antônio João,MS,-22.192701,-55.95168100000001
Antônio Martins,RN,-6.213666,-37.883363
Antônio Olinto,PR,-25.98038,-50.197183
Antônio Prado,RS,-28.8584137,-51.2837093
Antônio Prado de Minas,MG,-21.021099,-42.118051
Anápolis,GO,-16.3338602,-48.9519526
Anísio de Abreu,PI,-9.185642999999999,-43.049409999999995
Aparecida,PB,-6.7859598,-38.083135299999995
Aparecida,SP,0.0,0.0
Aparecida d'Oeste,SP,0.0,0.0
